region,annee,semaine,temp_moy_c,temp_max_c,temp_min_c,temp_surface_c,pluie_mm,humidite_pct,vent_moy_ms,pression_hpa,humidite_sol_racine,humidite_sol_surface,evapotranspiration_mm,ndvi,lst_jour_c,ndvi_lag2,ndvi_lag4,ndvi_lag8,semaine_sin,semaine_cos,cas_confirmes,pluie_lag2,pluie_lag4,population,strate_risque,saison,indice_vectoriel
DAKAR,2019,4,20.83714285714285,25.32,18.02,20.115714285714287,0.0,74.11571428571429,5.015714285714286,101.49285714285716,0.2828571428571428,0.88,0.68,0.2170564568501606,29.84121972145591,0.2195047320737951,0.2215078055263973,0.2479676307005882,0.4647231720437685,0.8854560256532099,71.38,1.3,0.0,3732000,moderee,seche,9.794847252292096e-05
DAKAR,2019,5,20.374285714285715,23.41,18.7,19.77142857142857,0.0,79.07142857142857,5.444285714285714,101.31714285714284,0.2785714285714286,0.88,0.73,0.2117312060386424,32.322477141589026,0.2182805944619778,0.2205062688000962,0.2417837045026432,0.5680647467311558,0.8229838658936564,71.38,1.23,0.0,3732000,moderee,seche,0.00010536241742730505
DAKAR,2019,6,21.47428571428572,28.25,19.26,20.005714285714284,0.03,66.2,4.445714285714286,101.16,0.27,0.8742857142857143,0.53,0.2064059552271244,30.48373338643777,0.2170564568501606,0.2195047320737951,0.2350250715105612,0.6631226582407952,0.7485107481711011,109.53,0.0,1.3,3732000,moderee,seche,9.006793010455416e-05
DAKAR,2019,7,22.24714285714285,28.31,19.48,20.26714285714285,0.07,65.51142857142857,4.957142857142856,101.33428571428573,0.2614285714285714,0.87,0.7,0.2003642887703553,34.00475348342656,0.2117312060386424,0.2182805944619778,0.2282664385184792,0.7485107481711011,0.6631226582407953,107.48,0.0,1.23,3732000,moderee,seche,8.935864248724461e-05
DAKAR,2019,8,20.664285714285715,25.14,18.93,19.40571428571429,0.31,75.20285714285714,4.631428571428572,101.31857142857145,0.2585714285714285,0.8714285714285713,0.58,0.1943226223135862,31.83245135784989,0.2064059552271244,0.2170564568501606,0.2215078055263973,0.8229838658936564,0.5680647467311559,71.38,0.03,0.0,3732000,moderee,seche,9.946797356596164e-05
DAKAR,2019,9,20.19,23.35,17.05,18.318571428571428,0.0,58.42,5.64,101.46428571428572,0.25,0.87,0.42,0.1921185655440169,32.29685519804282,0.2003642887703553,0.2117312060386424,0.2205062688000962,0.8854560256532099,0.4647231720437686,71.38,0.07,0.0,3732000,moderee,seche,7.270760818210592e-05
DAKAR,2019,10,19.47714285714286,23.09,17.29,18.54,0.25,81.38142857142857,5.614285714285714,101.38571428571429,0.24,0.87,0.42,0.1899145087744477,32.76125903823575,0.1943226223135862,0.2064059552271244,0.2195047320737951,0.9350162426854148,0.3546048870425355,72.26,0.31,0.03,3732000,moderee,seche,0.00010874239075624635
DAKAR,2019,11,20.952857142857145,27.16,18.39,18.858571428571427,0.0,66.16571428571429,4.482857142857143,101.21428571428572,0.2371428571428571,0.87,0.35,0.1877104520048785,32.537337847206885,0.1921185655440169,0.2003642887703553,0.2182805944619778,0.970941817426052,0.239315664287558,73.43,0.0,0.07,3732000,moderee,seche,8.569303054004687e-05
DAKAR,2019,12,19.90428571428572,21.26,18.98,19.542857142857144,0.12,89.46142857142857,4.175714285714286,101.1542857142857,0.23,0.87,0.34,0.1862160842672109,33.20187429009751,0.1899145087744477,0.1943226223135862,0.2170564568501606,0.992708874098054,0.120536680255323,80.48,0.25,0.31,3732000,moderee,seche,0.00012231561201972828
DAKAR,2019,13,19.72428571428572,20.79,18.78,19.30857142857143,0.03,84.11857142857143,5.884285714285714,101.39714285714284,0.23,0.87,0.36,0.1847217165295434,33.2397743304595,0.1877104520048785,0.1921185655440169,0.2117312060386424,1.0,-1.6081226496766364e-16,71.38,0.0,0.0,3732000,moderee,seche,0.00011293857210655782
DAKAR,2019,14,19.58142857142857,22.06,18.81,18.88142857142857,0.06,85.98,6.204285714285715,101.25714285714284,0.2271428571428571,0.87,0.32,0.181672039931738,31.293859804398835,0.1862160842672109,0.1899145087744477,0.2064059552271244,0.992708874098054,-0.1205366802553228,78.71,0.12,0.25,3732000,moderee,seche,0.00011664350905556903
DAKAR,2019,15,19.49857142857143,22.0,18.15,18.694285714285712,0.0,85.55857142857143,5.94,101.18285714285716,0.22,0.87,0.26,0.1786223633339327,33.67344647519589,0.1847217165295434,0.1877104520048785,0.2003642887703553,0.970941817426052,-0.2393156642875575,71.38,0.03,0.0,3732000,moderee,seche,0.00011518784698777303
DAKAR,2019,16,19.29428571428572,20.35,18.5,18.638571428571428,0.0,90.86,5.238571428571428,101.15142857142855,0.22,0.87,0.1699999999999999,0.1776848489157039,33.929792757594306,0.181672039931738,0.1862160842672109,0.1943226223135862,0.9350162426854148,-0.3546048870425354,74.9,0.06,0.12,3732000,moderee,seche,0.0001238966735950017
DAKAR,2019,17,20.09714285714286,22.75,18.68,19.52285714285714,0.01,90.00285714285714,4.592857142857143,101.13,0.2171428571428571,0.87,0.14,0.1767473344974751,34.54630939822453,0.1786223633339327,0.1847217165295434,0.1921185655440169,0.8854560256532099,-0.4647231720437685,72.26,0.0,0.03,3732000,moderee,seche,0.00012234044445556965
DAKAR,2019,18,20.342857142857145,22.56,19.36,19.83,0.0,87.33714285714287,5.401428571428572,101.17857142857144,0.21,0.87,0.15,0.1758098200792464,35.16282603885475,0.1776848489157039,0.181672039931738,0.1899145087744477,0.8229838658936565,-0.5680647467311557,73.14,0.0,0.06,3732000,moderee,seche,0.00011843522202998416
DAKAR,2019,19,21.23857142857143,23.54,20.44,20.787142857142857,0.08,91.62285714285714,3.967142857142857,101.01714285714286,0.21,0.87,0.08,0.1769150924457938,34.632830988102526,0.1767473344974751,0.1786223633339327,0.1877104520048785,0.7485107481711013,-0.663122658240795,71.38,0.01,0.0,3732000,moderee,seche,0.00012569028886446704
DAKAR,2019,20,21.16714285714286,22.03,20.31,21.08714285714285,0.05,88.38285714285713,5.121428571428572,101.19857142857144,0.21,0.87,0.07,0.1780203648123412,34.994397338879814,0.1758098200792464,0.1776848489157039,0.1862160842672109,0.6631226582407952,-0.7485107481711012,71.38,0.0,0.0,3732000,moderee,seche,0.00012054352451082182
DAKAR,2019,21,21.38142857142857,22.12,20.78,21.14,0.03,89.14714285714285,5.04,101.18285714285716,0.21,0.8685714285714285,0.07,0.1712990721329572,34.75703235669923,0.1769150924457938,0.1767473344974751,0.1847217165295434,0.5680647467311558,-0.8229838658936564,71.67,0.08,0.01,3732000,moderee,seche,0.00012192898734601548
DAKAR,2019,22,21.618571428571432,22.18,21.23,21.388571428571428,0.0,90.7,4.522857142857143,101.16714285714284,0.2028571428571428,0.86,0.06,0.1645777794535732,34.02634317239752,0.1780203648123412,0.1758098200792464,0.181672039931738,0.464723172043769,-0.8854560256532096,71.38,0.05,0.0,3732000,moderee,seche,0.00012450915804758953
DAKAR,2019,23,21.842857142857145,23.21,21.25,21.83,0.25,91.31428571428572,4.392857142857143,101.25714285714288,0.2,0.8642857142857142,0.01,0.1659319193501371,33.64337729197097,0.1712990721329572,0.1769150924457938,0.1786223633339327,0.3546048870425358,-0.9350162426854148,73.72,0.03,0.08,3732000,moderee,seche,0.00012590580263923383
DAKAR,2019,24,22.948571428571427,24.11,22.01,23.077142857142857,7.12,90.20285714285714,3.982857142857143,101.31428571428572,0.2085714285714285,0.8771428571428571,0.02,0.1672860592467011,35.361096617355,0.1645777794535732,0.1780203648123412,0.1776848489157039,0.2393156642875576,-0.970941817426052,72.84,0.0,0.05,3732000,moderee,seche,0.0001249366112586385
DAKAR,2019,25,23.872857142857143,24.89,22.87,24.610000000000003,1.4300000000000002,89.87285714285714,3.6028571428571428,101.36285714285714,0.21,0.87,0.07,0.1646017589378593,35.50978298861581,0.1659319193501371,0.1712990721329572,0.1767473344974751,0.120536680255323,-0.992708874098054,72.26,0.25,0.03,3732000,moderee,transmission,0.00012507512884313502
